district,month,2018,2019,2020,2021
Ajmer,January,785,789,931,726
Ajmer,February,839,717,730,542
Ajmer,March,705,661,612,608
Ajmer,April,741,666,647,1067
Ajmer,May,768,647,758,2400
Ajmer,June,671,792,668,
Ajmer,July,614,543,558,
Ajmer,August,656,659,648,
Ajmer,September,616,759,690,
Ajmer,October,675,722,746,
Ajmer,November,745,686,820,
Ajmer,December,832,820,938,
Alwar,January,1217,1187,1270,1146
Alwar,February,1028,1128,1077,850
Alwar,March,1060,972,924,900
Alwar,April,1060,1016,989,1150
Alwar,May,1121,1058,1221,2227
Alwar,June,1056,1173,1025,
Alwar,July,971,947,1034,
Alwar,August,953,1059,1022,
Alwar,September,972,1090,1063,
Alwar,October,1048,1040,1085,
Alwar,November,1044,1026,1237,
Alwar,December,1226,1233,1301,
Banswara,January,541,584,608,633
Banswara,February,453,510,580,452
Banswara,March,477,520,479,407
Banswara,April,498,492,610,769
Banswara,May,460,510,646,1407
Banswara,June,437,521,581,
Banswara,July,455,490,592,
Banswara,August,453,569,620,
Banswara,September,483,660,658,
Banswara,October,437,565,569,
Banswara,November,479,589,500,
Banswara,December,631,581,698,
Baran,January,331,364,400,355
Baran,February,303,305,344,235
Baran,March,315,290,268,240
Baran,April,332,301,319,411
Baran,May,390,399,361,1081
Baran,June,310,421,336,
Baran,July,296,292,351,
Baran,August,319,357,405,
Baran,September,361,420,470,
Baran,October,364,398,373,
Baran,November,339,349,427,
Baran,December,338,415,375,
Barmer,January,767,811,846,822
Barmer,February,808,827,724,603
Barmer,March,836,685,582,648
Barmer,April,733,613,772,887
Barmer,May,741,613,811,1614
Barmer,June,576,690,654,
Barmer,July,591,569,631,
Barmer,August,514,590,650,
Barmer,September,451,588,548,
Barmer,October,583,557,551,
Barmer,November,547,618,824,
Barmer,December,814,801,1081,
Bharatpur,January,738,716,751,643
Bharatpur,February,628,617,620,465
Bharatpur,March,659,603,552,461
Bharatpur,April,677,635,636,618
Bharatpur,May,763,654,798,1087
Bharatpur,June,735,727,671,
Bharatpur,July,605,562,644,
Bharatpur,August,608,678,629,
Bharatpur,September,601,626,645,
Bharatpur,October,595,612,613,
Bharatpur,November,621,577,706,
Bharatpur,December,794,770,781,
Bhilwara,January,908,930,1073,915
Bhilwara,February,873,899,871,643
Bhilwara,March,855,927,789,740
Bhilwara,April,832,845,767,1671
Bhilwara,May,908,844,867,2595
Bhilwara,June,765,1016,629,
Bhilwara,July,732,738,711,
Bhilwara,August,741,844,738,
Bhilwara,September,749,1042,827,
Bhilwara,October,865,969,795,
Bhilwara,November,784,886,894,
Bhilwara,December,1004,1190,1018,
Bikaner,January,530,533,526,471
Bikaner,February,417,456,452,306
Bikaner,March,478,473,430,406
Bikaner,April,401,429,451,517
Bikaner,May,423,463,480,963
Bikaner,June,426,431,481,
Bikaner,July,410,397,483,
Bikaner,August,357,357,378,
Bikaner,September,303,383,386,
Bikaner,October,350,372,444,
Bikaner,November,378,395,577,
Bikaner,December,498,491,557,
Bundi,January,323,310,410,360
Bundi,February,327,342,404,233
Bundi,March,318,350,341,264
Bundi,April,326,347,368,445
Bundi,May,355,314,382,1097
Bundi,June,299,383,348,
Bundi,July,270,322,311,
Bundi,August,352,381,355,
Bundi,September,343,504,425,
Bundi,October,374,389,358,
Bundi,November,312,392,396,
Bundi,December,405,435,386,
Chittorgarh,January,552,643,565,588
Chittorgarh,February,406,433,443,466
Chittorgarh,March,551,464,382,438
Chittorgarh,April,482,411,448,920
Chittorgarh,May,486,442,529,1667
Chittorgarh,June,494,514,409,
Chittorgarh,July,400,406,404,
Chittorgarh,August,434,544,515,
Chittorgarh,September,423,511,450,
Chittorgarh,October,498,526,564,
Chittorgarh,November,501,502,548,
Chittorgarh,December,594,500,633,
Churu,January,634,563,677,501
Churu,February,502,552,579,506
Churu,March,579,559,506,565
Churu,April,567,537,512,732
Churu,May,598,553,645,1668
Churu,June,553,561,574,
Churu,July,461,467,535,
Churu,August,435,510,508,
Churu,September,391,513,441,
Churu,October,473,458,498,
Churu,November,451,488,601,
Churu,December,609,630,671,
Dausa,January,564,587,587,452
Dausa,February,447,471,459,388
Dausa,March,434,456,435,406
Dausa,April,449,438,494,521
Dausa,May,512,465,565,1151
Dausa,June,428,497,444,
Dausa,July,441,380,459,
Dausa,August,467,469,492,
Dausa,September,503,521,480,
Dausa,October,542,447,490,
Dausa,November,516,486,581,
Dausa,December,586,597,608,
Dhaulpur,January,390,346,377,261
Dhaulpur,February,336,318,296,183
Dhaulpur,March,323,306,237,198
Dhaulpur,April,342,297,280,290
Dhaulpur,May,362,317,363,293
Dhaulpur,June,337,315,300,
