district,date,deaths
Sri Ganganagar,2018-01-01,763
Sri Ganganagar,2018-02-01,552
Sri Ganganagar,2018-03-01,562
Sri Ganganagar,2018-04-01,540
Sri Ganganagar,2018-05-01,562
Sri Ganganagar,2018-06-01,588
Sri Ganganagar,2018-07-01,553
Sri Ganganagar,2018-08-01,590
Sri Ganganagar,2018-09-01,509
Sri Ganganagar,2018-10-01,539
Sri Ganganagar,2018-11-01,604
Sri Ganganagar,2018-12-01,704
Sri Ganganagar,2019-01-01,734
Sri Ganganagar,2019-02-01,652
Sri Ganganagar,2019-03-01,631
Sri Ganganagar,2019-04-01,532
Sri Ganganagar,2019-05-01,554
Sri Ganganagar,2019-06-01,561
Sri Ganganagar,2019-07-01,626
Sri Ganganagar,2019-08-01,539
Sri Ganganagar,2019-09-01,545
Sri Ganganagar,2019-10-01,562
Sri Ganganagar,2019-11-01,601
Sri Ganganagar,2019-12-01,760
Sri Ganganagar,2020-01-01,865
Sri Ganganagar,2020-02-01,646
Sri Ganganagar,2020-03-01,589
Sri Ganganagar,2020-04-01,574
Sri Ganganagar,2020-05-01,631
Sri Ganganagar,2020-06-01,737
Sri Ganganagar,2020-07-01,728
Sri Ganganagar,2020-08-01,631
Sri Ganganagar,2020-09-01,649
Sri Ganganagar,2020-10-01,646
Sri Ganganagar,2020-11-01,842
Sri Ganganagar,2020-12-01,766
Sri Ganganagar,2021-01-01,702
Sri Ganganagar,2021-02-01,538
Sri Ganganagar,2021-03-01,538
Sri Ganganagar,2021-04-01,701
Sri Ganganagar,2021-05-01,1302
Hanumangarh,2018-01-01,730
Hanumangarh,2018-02-01,583
Hanumangarh,2018-03-01,628
Hanumangarh,2018-04-01,584
Hanumangarh,2018-05-01,548
Hanumangarh,2018-06-01,628
Hanumangarh,2018-07-01,552
Hanumangarh,2018-08-01,498
Hanumangarh,2018-09-01,451
Hanumangarh,2018-10-01,544
Hanumangarh,2018-11-01,584
Hanumangarh,2018-12-01,694
Hanumangarh,2019-01-01,665
Hanumangarh,2019-02-01,659
Hanumangarh,2019-03-01,615
Hanumangarh,2019-04-01,500
Hanumangarh,2019-05-01,546
Hanumangarh,2019-06-01,577
Hanumangarh,2019-07-01,522
Hanumangarh,2019-08-01,562
Hanumangarh,2019-09-01,514
Hanumangarh,2019-10-01,588
Hanumangarh,2019-11-01,597
Hanumangarh,2019-12-01,752
Hanumangarh,2020-01-01,804
Hanumangarh,2020-02-01,593
Hanumangarh,2020-03-01,563
Hanumangarh,2020-04-01,526
Hanumangarh,2020-05-01,612
Hanumangarh,2020-06-01,672
Hanumangarh,2020-07-01,555
Hanumangarh,2020-08-01,592
Hanumangarh,2020-09-01,539
Hanumangarh,2020-10-01,544
Hanumangarh,2020-11-01,698
Hanumangarh,2020-12-01,707
Hanumangarh,2021-01-01,667
Hanumangarh,2021-02-01,521
Hanumangarh,2021-03-01,563
Hanumangarh,2021-04-01,683
Hanumangarh,2021-05-01,1321
Bikaner,2018-01-01,530
Bikaner,2018-02-01,417
Bikaner,2018-03-01,478
Bikaner,2018-04-01,401
Bikaner,2018-05-01,423
Bikaner,2018-06-01,426
Bikaner,2018-07-01,410
Bikaner,2018-08-01,357
Bikaner,2018-09-01,303
Bikaner,2018-10-01,350
Bikaner,2018-11-01,378
Bikaner,2018-12-01,498
Bikaner,2019-01-01,533
Bikaner,2019-02-01,456
Bikaner,2019-03-01,473
Bikaner,2019-04-01,429
Bikaner,2019-05-01,463
Bikaner,2019-06-01,431
Bikaner,2019-07-01,397
Bikaner,2019-08-01,357
Bikaner,2019-09-01,383
Bikaner,2019-10-01,372
Bikaner,2019-11-01,395
Bikaner,2019-12-01,491
Bikaner,2020-01-01,526
Bikaner,2020-02-01,452
Bikaner,2020-03-01,430
Bikaner,2020-04-01,451
Bikaner,2020-05-01,480
Bikaner,2020-06-01,481
Bikaner,2020-07-01,483
Bikaner,2020-08-01,378
Bikaner,2020-09-01,386
