date,deaths
2018-01-01,20798
2018-02-01,18301
2018-03-01,18921
2018-04-01,18018
2018-05-01,19446
2018-06-01,17048
2018-07-01,15640
2018-08-01,16023
2018-09-01,15812
2018-10-01,17226
2018-11-01,17489
2018-12-01,21648
2019-01-01,20239
2019-02-01,18089
2019-03-01,17784
2019-04-01,16651
2019-05-01,17603
2019-06-01,19766
2019-07-01,15656
2019-08-01,17569
2019-09-01,19291
2019-10-01,17924
2019-11-01,17794
2019-12-01,21448
2020-01-01,21954
2020-02-01,18056
2020-03-01,16378
2020-04-01,17596
2020-05-01,20582
2020-06-01,17959
2020-07-01,17151
2020-08-01,17918
2020-09-01,18719
2020-10-01,18405
2020-11-01,21265
2020-12-01,23581
2021-01-01,19622
2021-02-01,14860
2021-03-01,16084
2021-04-01,26251
2021-05-01,49046
